,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Full_Address,lat,long
87,1525265,"October 12, 2019",Michigan,Eastpointe,15163 E 10 Mile Rd,1,5,"15163 E 10 Mile Rd, Eastpointe Michigan",42.479624,-82.964476
89,1524264,"October 10, 2019",Pennsylvania,Philadelphia,900  S 5th St,0,5,"900  S 5th St, Philadelphia Pennsylvania",39.937224,-75.151892
90,1522979,"October 9, 2019",Massachusetts,Lowell,149 Ennell Street,0,5,"149 Ennell Street, Lowell Massachusetts",42.65734545,-71.30917430120968
91,1523204,"October 9, 2019",Maryland,Baltimore,1600  W North Ave,1,3,"1600  W North Ave, Baltimore Maryland",39.3102265,-76.6434237
92,1521226,"October 7, 2019",Massachusetts,Abington,135 Centre Ave,5,0,"135 Centre Ave, Abington Massachusetts",42.10659025,-70.93858896888776
93,1520425,"October 6, 2019",Indiana,Evansville,1127 Chestnut St,0,5,"1127 Chestnut St, Evansville Indiana",37.97305623295038,-87.56096153409925
95,1520330,"October 6, 2019",Kansas,Kansas City,1013 Central Ave,4,5,"1013 Central Ave, Kansas City Kansas",39.1009854,-94.6361288
96,1520547,"October 5, 2019",Missouri,Saint Louis,10035 Crown Point Dr,0,5,"10035 Crown Point Dr, Saint Louis Missouri",38.7508712,-90.260806
97,1519090,"October 3, 2019",North Carolina,Roxboro,700 South Foushee St,1,3,"700 South Foushee St, Roxboro North Carolina",36.382044,-78.985398
98,1518859,"October 3, 2019",Missouri,Marshall,S Olson Ave,1,3,"S Olson Ave, Marshall Missouri",39.1128559,-93.1932848
101,1515242,"September 29, 2019",Wisconsin,Milwaukee,1500  N 29th St,0,4,"1500  N 29th St, Milwaukee Wisconsin",43.050185,-87.949894
102,1515128,"September 29, 2019",Florida,Jacksonville,2200  Clemente Dr,0,4,"2200  Clemente Dr, Jacksonville Florida",30.324755,-81.68903
104,1515327,"September 29, 2019",Texas,Beaumont,4100  Highland Ave,4,0,"4100  Highland Ave, Beaumont Texas",30.046732,-94.085528
105,1511999,"September 24, 2019",Illinois,Chicago,2000  South Hoyne Ave,1,3,"2000  South Hoyne Ave, Chicago Illinois",41.854771,-87.678475
106,1510411,"September 23, 2019",Indiana,Gary,1600  Connecticut St,2,2,"1600  Connecticut St, Gary Indiana",41.586805,-87.334522
107,1509721,"September 22, 2019",Missouri,Kansas City,2111 Television Plaza,0,5,"2111 Television Plaza, Kansas City Missouri",39.08385045,-94.4816187
109,1508804,"September 21, 2019",South Carolina,Lancaster,1399 Old Charlotte Rd,2,8,"1399 Old Charlotte Rd, Lancaster South Carolina",34.741959,-80.777907
110,1509510,"September 21, 2019",Indiana,Indianapolis,101 W Maryland St,0,6,"101 W Maryland St, Indianapolis Indiana",39.765601,-86.160105
111,1512486,"September 21, 2019",Ohio,Cleveland,3616 East 144th St,4,0,"3616 East 144th St, Cleveland Ohio",41.461159,-81.581445
113,1507939,"September 19, 2019",District of Columbia,Washington,1300  Columbia Rd NW,1,5,"1300  Columbia Rd NW, Washington District of Columbia",38.9274452,-77.0300322239827
114,1507156,"September 18, 2019",Illinois,Chicago,4200  W Madison St,3,1,"4200  W Madison St, Chicago Illinois",41.8809866,-87.73095225936294
116,1505354,"September 16, 2019",Wyoming,Cheyenne,3436 E 11th St,2,2,"3436 E 11th St, Cheyenne Wyoming",41.13557273417345,-104.76676011301956
117,1504030,"September 14, 2019",Missouri,Saint Louis,5200  Tennessee Ave,1,3,"5200  Tennessee Ave, Saint Louis Missouri",38.570828,-90.250767
118,1504012,"September 14, 2019",California,Oakland,38th Ave and MacArthur Blvd,1,4,"38th Ave and MacArthur Blvd, Oakland California",37.7908374,-122.198091
119,1504387,"September 14, 2019",Georgia,Lagrange,1400  Elm St,0,4,"1400  Elm St, Lagrange Georgia",33.017383,-85.042787
120,1503207,"September 12, 2019",New Mexico,Albuquerque,1919 Ladera Dr NW,1,4,"1919 Ladera Dr NW, Albuquerque New Mexico",35.10344663265306,-106.73249189795918
121,1503192,"September 12, 2019",New Mexico,Albuquerque,1028 Lura Pl SW,4,2,"1028 Lura Pl SW, Albuquerque New Mexico",35.06409354788969,-106.68428371910076
122,1501350,"September 10, 2019",Illinois,Chicago,2200  W Maypole Ave,0,4,"2200  W Maypole Ave, Chicago Illinois",41.883993,-87.681756
123,1499460,"September 8, 2019",South Carolina,Sumter,1083 Broad St,2,2,"1083 Broad St, Sumter South Carolina",33.95044346026532,-80.37618665929246
124,1500098,"September 8, 2019",Louisiana,Alexandria,2900  Cypress St,1,3,"2900  Cypress St, Alexandria Louisiana",31.2856856,-92.4439382
127,1497180,"September 4, 2019",Florida,Jacksonville,400 W 62nd St,0,4,"400 W 62nd St, Jacksonville Florida",30.384363,-81.659059
128,1494697,"September 2, 2019",North Carolina,Greensboro,5528 W Market St,2,2,"5528 W Market St, Greensboro North Carolina",36.0756862,-79.9120991
129,1495141,"September 2, 2019",Illinois,Chicago,6200  S King Dr,0,4,"6200  S King Dr, Chicago Illinois",41.709143,-87.6138244
130,1495192,"September 2, 2019",Alabama,Elkmont,25019 Ridge Road,5,0,"25019 Ridge Road, Elkmont Alabama",34.919752130939884,-86.96812657396381
131,1494113,"September 1, 2019",Connecticut,Hartford,80 Edgewood St,1,3,"80 Edgewood St, Hartford Connecticut",41.77954933612504,-72.69128948750819
132,1494669,"September 1, 2019",North Carolina,Rocky Mount,521 Country Club Road,0,4,"521 Country Club Road, Rocky Mount North Carolina",35.967171809877215,-77.8260413182094
133,1494548,"September 1, 2019",Alabama,Valley,502 Boulevard,0,7,"502 Boulevard, Valley Alabama",32.79451040242053,-85.18508639763151
134,1493374,"September 1, 2019",Ohio,Toledo,3257 Stickney Ave,0,4,"3257 Stickney Ave, Toledo Ohio",41.6827107,-83.52712725
135,1492778,"August 31, 2019",North Carolina,Charlotte,10035 Dabney Dr,1,3,"10035 Dabney Dr, Charlotte North Carolina",35.31171448409232,-80.71789182683781
137,1492441,"August 31, 2019",Texas,Odessa,8250 TX 191,8,23,"8250 TX 191, Odessa Texas",31.923482,-102.288585
138,1492264,"August 31, 2019",Pennsylvania,Philadelphia,4600  4th St,2,2,"4600  4th St, Philadelphia Pennsylvania",40.021012,-75.132089
139,1493429,"August 31, 2019",Maryland,Baltimore,900  N Monroe St,0,4,"900  N Monroe St, Baltimore Maryland",39.299089,-76.6477431875
140,1492297,"August 31, 2019",Maryland,Frederick,600  N Market St,0,4,"600  N Market St, Frederick Maryland",39.421697,-77.409874
141,1493038,"August 31, 2019",Illinois,Chicago,7100  S Paulina St,2,3,"7100  S Paulina St, Chicago Illinois",41.7643,-87.66634
142,1491495,"August 30, 2019",Maryland,Baltimore,1600  E 29th St,1,3,"1600  E 29th St, Baltimore Maryland",39.3248153,-76.5928564038286
143,1492087,"August 30, 2019",Alabama,Mobile,1621 Virginia St,0,6,"1621 Virginia St, Mobile Alabama",30.67435983333333,-88.07331191666667
144,1490466,"August 29, 2019",Maryland,Baltimore,2500  E Monument St,1,3,"2500  E Monument St, Baltimore Maryland",39.298949,-76.582165
145,1487729,"August 25, 2019",New Mexico,Hobbs,1700  E Bond St,3,4,"1700  E Bond St, Hobbs New Mexico",32.70355761080692,-103.11641533443787
146,1487573,"August 25, 2019",Illinois,Chicago,8200  S Maryland Ave,1,3,"8200  S Maryland Ave, Chicago Illinois",41.745686,-87.60392
148,1487224,"August 24, 2019",Massachusetts,Lynn,Warren Street,1,3,"Warren Street, Lynn Massachusetts",42.4612775,-70.9601164
149,1486232,"August 23, 2019",Texas,Houston,4900  Southwind St,3,2,"4900  Southwind St, Houston Texas",29.67796808942835,-95.35040567071152
150,1489373,"August 23, 2019",Georgia,Dublin,200 Riverview Park Dr,0,4,"200 Riverview Park Dr, Dublin Georgia",32.518076,-82.898599
151,1486675,"August 23, 2019",Missouri,Saint Louis,1122 Union Blvd,1,3,"1122 Union Blvd, Saint Louis Missouri",38.658188,-90.272548
152,1485340,"August 22, 2019",South Carolina,Columbia,851 Bush River Rd,2,2,"851 Bush River Rd, Columbia South Carolina",34.030272969734334,-81.10083529843436
153,1485548,"August 22, 2019",California,Los Angeles,300  West Fifth St,0,4,"300  West Fifth St, Los Angeles California",34.0518393,-118.4140469
154,1484335,"August 20, 2019",Georgia,Atlanta,111 James P Brawley Dr SW,0,4,"111 James P Brawley Dr SW, Atlanta Georgia",33.7515384,-84.41355964476884
155,1482199,"August 18, 2019",Missouri,Kansas City,770 W 47th St,0,4,"770 W 47th St, Kansas City Missouri",39.04278205,-94.59566391298652
156,1481989,"August 17, 2019",Texas,Houston,12500  Mylla St,0,6,"12500  Mylla St, Houston Texas",29.762516,-95.215302
157,1480326,"August 15, 2019",Alabama,Montgomery,847 N University Dr,2,3,"847 N University Dr, Montgomery Alabama",32.371463,-86.187053
158,1479894,"August 15, 2019",Pennsylvania,Philadelphia,1400  W Conlyn St,0,5,"1400  W Conlyn St, Philadelphia Pennsylvania",40.041924,-75.144206
159,1478869,"August 14, 2019",Pennsylvania,Philadelphia,3716 N 15th St,0,6,"3716 N 15th St, Philadelphia Pennsylvania",40.00980371428572,-75.15291130612245
161,1478480,"August 12, 2019",Mississippi,Greenwood,200 Young St,0,4,"200 Young St, Greenwood Mississippi",33.519195,-90.174034
162,1475924,"August 11, 2019",Illinois,Chicago,3500  W Lake St,0,6,"3500  W Lake St, Chicago Illinois",41.8849162,-87.7136872
163,1475361,"August 10, 2019",Virginia,Richmond,6346 Midlothian Turnpike,0,4,"6346 Midlothian Turnpike, Richmond Virginia",37.5044843,-77.51480841972634
164,1476271,"August 10, 2019",California,San Francisco,1100 Fillmore St,0,4,"1100 Fillmore St, San Francisco California",37.7798311,-122.43170806268444
165,1475208,"August 9, 2019",Illinois,Chicago,7300  S Artesian Ave,0,4,"7300  S Artesian Ave, Chicago Illinois",41.7608977,-87.68464345000001
166,1472641,"August 7, 2019",Missouri,Saint Louis,4900  Plover Ave,3,1,"4900  Plover Ave, Saint Louis Missouri",38.695208,-90.256476
167,1469344,"August 5, 2019",New York,Brooklyn,216 Buffalo Ave,0,4,"216 Buffalo Ave, Brooklyn New York",40.67172995,-73.92551270178228
169,1468190,"August 4, 2019",Illinois,Chicago,1800 S Kildare Ave,1,7,"1800 S Kildare Ave, Chicago Illinois",41.856805,-87.73268
170,1468799,"August 4, 2019",Tennessee,Memphis,443 E Shelby Dr,1,3,"443 E Shelby Dr, Memphis Tennessee",35.02074732543872,-90.04891650349556
171,1468091,"August 4, 2019",Illinois,Chicago,2900  W Roosevelt Rd,0,7,"2900  W Roosevelt Rd, Chicago Illinois",41.8669802,-87.6614615
172,1467828,"August 4, 2019",Ohio,Dayton,419 E 5th St,10,17,"419 E 5th St, Dayton Ohio",39.7572779,-84.1844036
173,1466705,"August 3, 2019",Texas,El Paso,7101 Gateway Blvd,23,23,"7101 Gateway Blvd, El Paso Texas",29.5755935,-98.33547529537049
174,1467157,"August 2, 2019",Virginia,Suffolk,200  N Broad St,2,3,"200  N Broad St, Suffolk Virginia",36.731671,-76.593012
175,1462317,"July 30, 2019",Ohio,Columbus,1280 E Long St,0,5,"1280 E Long St, Columbus Ohio",39.96890416,-82.96724344
176,1460630,"July 28, 2019",Pennsylvania,Philadelphia,2600  Carroll St,1,5,"2600  Carroll St, Philadelphia Pennsylvania",39.917617,-75.233541
177,1460448,"July 28, 2019",California,Gilroy,7050 Miller Ave,4,17,"7050 Miller Ave, Gilroy California",36.99768975,-121.58546605
179,1459941,"July 28, 2019",District of Columbia,Washington,637 T St NW,0,4,"637 T St NW, Washington District of Columbia",38.9157192,-77.0213818
180,1460726,"July 28, 2019",Illinois,Chicago,3938 W Roosevelt Rd,0,4,"3938 W Roosevelt Rd, Chicago Illinois",41.8665863,-87.7245379
181,1459389,"July 27, 2019",Kansas,Wichita,505 N Rock Rd,1,3,"505 N Rock Rd, Wichita Kansas",37.69403223262288,-97.24464049170918
182,1459718,"July 27, 2019",New York,Brooklyn,1555 Linden Blvd,1,11,"1555 Linden Blvd, Brooklyn New York",40.65627315,-73.90271889104511
183,1459201,"July 26, 2019",Washington,Kennewick,E 10th Ave,1,3,"E 10th Ave, Kennewick Washington",46.1981609,-119.1110864
185,1453327,"July 21, 2019",Illinois,Chicago,3900  Roosevelt Rd,0,4,"3900  Roosevelt Rd, Chicago Illinois",41.86644785,-87.72294486378736
186,1453884,"July 21, 2019",District of Columbia,Washington,2300  15th St NE,0,4,"2300  15th St NE, Washington District of Columbia",38.92104979601156,-76.98265523623947
187,1453350,"July 20, 2019",Maryland,Baltimore,2800  Boarman Ave,1,3,"2800  Boarman Ave, Baltimore Maryland",39.3380494,-76.667863705625
188,1452654,"July 20, 2019",Pennsylvania,Clairton,501 Waddell Ave,0,4,"501 Waddell Ave, Clairton Pennsylvania",40.2942909,-79.886323
189,1452617,"July 20, 2019",Illinois,Chicago,2401 N Lake Shore Dr,0,7,"2401 N Lake Shore Dr, Chicago Illinois",41.902162,-87.6243207
190,1450767,"July 18, 2019",Illinois,Chicago,3427 W Fulton Blvd,1,3,"3427 W Fulton Blvd, Chicago Illinois",41.8860294,-87.71226262272117
192,1449602,"July 16, 2019",Texas,San Antonio,6989 San Pedro Ave,0,4,"6989 San Pedro Ave, San Antonio Texas",29.50685344897959,-98.4993681632653
193,1448578,"July 15, 2019",Georgia,Atlanta,1572 Hardee St NE,0,4,"1572 Hardee St NE, Atlanta Georgia",33.7554917,-84.33616286666667
194,1447456,"July 14, 2019",Illinois,Chicago,4600  W Erie St,0,4,"4600  W Erie St, Chicago Illinois",41.89250675,-87.7415413442209
195,1446611,"July 13, 2019",Illinois,Chicago,7900  S Loomis Blvd,1,4,"7900  S Loomis Blvd, Chicago Illinois",41.749896,-87.658686
196,1447057,"July 13, 2019",Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,"5433 Lansdowne Ave, Philadelphia Pennsylvania",39.977018,-75.231047
197,1445066,"July 11, 2019",Texas,Houston,5901 Royal Palms St,0,4,"5901 Royal Palms St, Houston Texas",29.697095,-95.331705
201,1441396,"July 7, 2019",Illinois,Chicago,5600  S Paulina St,0,4,"5600  S Paulina St, Chicago Illinois",41.7920571,-87.6672798290678
202,1441296,"July 7, 2019",Illinois,Chicago,600  W 61st Pl,0,4,"600  W 61st Pl, Chicago Illinois",41.782649,-87.640231
203,1441317,"July 7, 2019",New Mexico,Albuquerque,211 Gold Ave SW,0,4,"211 Gold Ave SW, Albuquerque New Mexico",35.08337002040817,-106.64965375510204
204,1441427,"July 6, 2019",California,San Jose,3036 Quinto Way,0,4,"3036 Quinto Way, San Jose California",37.2680284,-121.91415463138289
205,1441721,"July 6, 2019",Missouri,Saint Louis,1921 Chambers Rd,5,0,"1921 Chambers Rd, Saint Louis Missouri",38.7496985,-90.2638313
206,1440510,"July 5, 2019",Massachusetts,Boston,Maple St,0,6,"Maple St, Boston Massachusetts",42.254349,-71.122409
207,1440879,"July 5, 2019",Nevada,Reno,600  Spokane St,1,5,"600  Spokane St, Reno Nevada",39.534819,-119.800639
208,1439593,"July 5, 2019",Illinois,Chicago,1600  E 67th St,0,5,"1600  E 67th St, Chicago Illinois",41.773424,-87.58559
210,1440765,"July 4, 2019",Illinois,Rockford,1100  Preston St,0,4,"1100  Preston St, Rockford Illinois",42.271411,-89.106486
211,1439737,"July 4, 2019",California,Los Angeles,1900  Adair St,0,4,"1900  Adair St, Los Angeles California",34.027866,-118.258251
212,1438971,"July 4, 2019",Illinois,Chicago,800  N Homan Ave,1,3,"800  N Homan Ave, Chicago Illinois",41.895628,-87.71155
213,1439765,"July 4, 2019",California,Fresno,4700  E Hamilton Ave,1,3,"4700  E Hamilton Ave, Fresno California",36.724541,-119.740701
215,1438602,"July 2, 2019",Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,"6250 Page Ave, Saint Louis (Wellston) Missouri",38.67147251619031,-90.2926157625026
216,1437094,"July 1, 2019",Maryland,Baltimore,1200  N Luzerne Ave,0,4,"1200  N Luzerne Ave, Baltimore Maryland",39.3049054,-76.58146990584476
217,1435804,"June 30, 2019",California,Oakland,3000  Brookdale Ave,0,4,"3000  Brookdale Ave, Oakland California",37.79235585764368,-122.21584005806436
218,1436545,"June 30, 2019",California,Yucaipa,12700  California St,0,5,"12700  California St, Yucaipa California",34.0230177700218,-117.03892398120674
219,1436254,"June 30, 2019",Texas,Dallas,3535 Munger Ave,2,2,"3535 Munger Ave, Dallas Texas",32.8000263,-96.789442
223,1434931,"June 29, 2019",Illinois,Chicago,2400  W Jackson Blvd,0,5,"2400  W Jackson Blvd, Chicago Illinois",41.877624,-87.687052
224,1435028,"June 29, 2019",Louisiana,Baton Rouge,7132 Florida Blvd,0,7,"7132 Florida Blvd, Baton Rouge Louisiana",30.4561834,-91.0744703
225,1434882,"June 28, 2019",New Jersey,Paterson,50  Jefferson St,0,4,"50  Jefferson St, Paterson New Jersey",40.92593566666667,-74.17172783333334
226,1434602,"June 28, 2019",Connecticut,Hamden,937 Choate Ave,0,5,"937 Choate Ave, Hamden Connecticut",41.4219389,-72.9375443
