index,Incident ID,State,City Or County,Street Address,Killed,Injured,Full_Address,Latitude,Longitude,Date,Year
19,1509411,Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,"Poland Ave and St. Claude Ave, New Orleans Louisiana",29.9648338,-90.0313877,Sep 21,2019
20,1508859,Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,"Canal Blvd and City Park Ave, New Orleans Louisiana",29.9821623,-90.1107564,Sep 20,2019
21,1507092,California,Wilmington,800  Bayview Ave,2,2,"800  Bayview Ave, Wilmington California",33.7797063,-118.2698968,Sep 18,2019
22,1499300,North Carolina,Whiteville,Brittany Ln,3,1,"Brittany Ln, Whiteville North Carolina",34.2481902,-78.6850442,Sep 7,2019
23,1497702,Louisiana,Marrero,3044 Sorbonne Dr,2,2,"3044 Sorbonne Dr, Marrero Louisiana",29.8508633,-90.1192308,Sep 4,2019
24,1492377,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,"336 Maplewood Rd, Moncks Corner South Carolina",33.156254,-80.0383634,Aug 31,2019
25,1487356,Maryland,Temple Hills (Camp Springs),6200  Maxwell Dr,0,7,"6200  Maxwell Dr, Temple Hills (Camp Springs) Maryland",38.8174429,-76.8985587,Aug 24,2019
26,1479395,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,"E 38th St and E Roosevelt Ave, Tacoma Washington",47.223089,-122.398824,Aug 13,2019
27,1527721,Louisiana,Lake Charles,110 Pryce St,0,4,"110 Pryce St, Lake Charles Louisiana",30.234419,-93.2177159,Aug 4,2019
28,1461352,Wisconsin,Chippewa Falls,16964 54th Ave,5,2,"16964 54th Ave, Chippewa Falls Wisconsin",44.9205224,-91.3278391,Jul 28,2019
29,1457165,California,Canoga Park,21901 Roscoe Boulevard,4,2,"21901 Roscoe Boulevard, Canoga Park California",34.220124,-118.6047055,Jul 25,2019
30,1450124,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,"N Elder Ave and E Colgate St, Lubbock Texas",33.6024732,-101.8029804,Jul 17,2019
31,1441967,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,"3900 Martin Luther King Jr Ave SW, Washington District of Columbia",38.8324029,-77.0087428,Jul 8,2019
32,1441565,Michigan,Flint,Clio Rd and Myrtle St,0,6,"Clio Rd and Myrtle St, Flint Michigan",43.0503962,-83.7326862,Jul 7,2019
33,1441613,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,"N Tucker Blvd and Convention Plaza, Saint Louis Missouri",38.6332014,-90.1961105,Jul 7,2019
34,1440257,New York,Brooklyn,Elton St and Belmont Ave,0,4,"Elton St and Belmont Ave, Brooklyn New York",40.6724642,-73.883074,Jul 5,2019
35,1439042,Texas,Katy,5507 Everhart Manor Ln,2,3,"5507 Everhart Manor Ln, Katy Texas",29.7177492,-95.7969688,Jul 3,2019
36,1435578,New York,Bay Shore,Farragut Ave,0,6,"Farragut Ave, Bay Shore New York",40.746988,-73.2610992,Jun 30,2019
37,1435041,Connecticut,Hartford,Judson St and Martin St,0,4,"Judson St and Martin St, Hartford Connecticut",41.7893425,-72.6799544,Jun 29,2019
38,1435297,Louisiana,Gray,2700  W Park Ave,0,4,"2700  W Park Ave, Gray Louisiana",29.7084481,-90.7912856,Jun 29,2019
39,1434971,Georgia,Atlanta,Ira St and Bass St SW,0,7,"Ira St and Bass St SW, Atlanta Georgia",33.7356464,-84.3999789,Jun 28,2019
40,1432989,Georgia,Atlanta,600  Parkway Dr,0,7,"600  Parkway Dr, Atlanta Georgia",33.7708803,-84.3730704,Jun 27,2019
41,1429399,Virginia,Hampton,1st St and E Pembroke Ave,0,4,"1st St and E Pembroke Ave, Hampton Virginia",37.034294,-76.327798,Jun 22,2019
42,1428047,California,Santa Maria,519  West Taylor St,5,0,"519  West Taylor St, Santa Maria California",34.975691,-120.440787,Jun 21,2019
43,1425161,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,"E Market St and Tower of the Americas Way, San Antonio Texas",29.4213971,-98.4810022,Jun 17,2019
44,1423330,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,"Dixie Highway and Ormsby Ave, Louisville Kentucky",38.2354477,-85.7875766,Jun 16,2019
45,1420432,Georgia,Savannah,6900 Block of Damascus Rd,2,2,"6900 Block of Damascus Rd, Savannah Georgia",32.0044661,-81.0727251,Jun 11,2019
46,1418180,Washington,White Swan,5151 Medicine Valley Rd,5,2,"5151 Medicine Valley Rd, White Swan Washington",46.4225286,-120.823627,Jun 8,2019
47,1412430,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,"Suzanne Dr and Robinson Dr, Macon Georgia",32.842935,-83.6916716,Jun 1,2019
48,1407189,New Jersey,Trenton,100  Walnut St,1,5,"100  Walnut St, Trenton New Jersey",40.2209688,-74.7489086,May 27,2019
49,1405749,Virginia,La Crosse,800  Alvis Road,0,5,"800  Alvis Road, La Crosse Virginia",36.6091459,-78.027849,May 26,2019
50,1405196,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,"Holly Cove Dr and Schooner Trail, Chesapeake Virginia",36.7998706,-76.39959,May 25,2019
51,1405221,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,"N Kelley Ave and NE 26th St, Oklahoma City Oklahoma",35.4968358,-97.4944349,May 25,2019
52,1399017,Mississippi,Cascilla,700 Leverette Ln,1,4,"700 Leverette Ln, Cascilla Mississippi",33.8848664,-90.1201993,May 18,2019
53,1393960,Louisiana,New Orleans,2100  4th St,0,4,"2100  4th St, New Orleans Louisiana",29.9355721,-90.0882232,May 13,2019
54,1392923,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,"Toll Rd and Bayberry Rd, Effort Pennsylvania",40.9813323,-75.4740167,May 11,2019
55,1390764,Indiana,Indianapolis,Roache St and Rader St,0,4,"Roache St and Rader St, Indianapolis Indiana",39.8046292,-86.1780773,May 8,2019
56,1389220,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,"8773 S Ridgeline Blvd, Littleton (Highlands Ranch) Colorado",39.5559595,-104.997907,May 7,2019
57,1387170,California,Oceano,1001 Cabrillo Hwy,0,6,"1001 Cabrillo Hwy, Oceano California",35.112489,-120.6255962,May 5,2019
58,1386510,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,"Union Blvd and Northland Ave, Saint Louis Missouri",38.6713502,-90.2637928,May 4,2019
59,1386575,Delaware,Wilmington,W 27th St and Tatnall St,0,4,"W 27th St and Tatnall St, Wilmington Delaware",39.755791,-75.5356448,May 4,2019
60,1383752,North Carolina,Charlotte,9214 South Library Ln,2,4,"9214 South Library Ln, Charlotte North Carolina",35.305966,-80.730937,Apr 30,2019
61,1382711,Ohio,West Chester,4637 Wyndtree Dr,4,0,"4637 Wyndtree Dr, West Chester Ohio",39.3506968,-84.4677984,Apr 28,2019
62,1381734,California,Los Angeles,700 N San Fernando Rd,0,6,"700 N San Fernando Rd, Los Angeles California",34.0895046,-118.2263927,Apr 27,2019
63,1370795,Florida,Miami,NW 19th Ave and 60th St,2,2,"NW 19th Ave and 60th St, Miami Florida",25.8297859,-80.2288686,Apr 14,2019
64,1369109,California,Los Angeles,E 103rd St and S Main St,1,4,"E 103rd St and S Main St, Los Angeles California",33.9428494,-118.2738951,Apr 11,2019
65,1362715,Georgia,Stockbridge,300  Eagle Ct,3,2,"300  Eagle Ct, Stockbridge Georgia",33.5269572,-84.2404131,Apr 4,2019
66,1355275,Nevada,North Las Vegas,2400  W San Miguel St,0,5,"2400  W San Miguel St, North Las Vegas Nevada",36.2358916,-115.1758532,Mar 25,2019
67,1349256,Georgia,Rochelle,Dennis St,1,3,"Dennis St, Rochelle Georgia",31.9527985,-83.4683149,Mar 17,2019
68,1348793,Nevada,Las Vegas,600 E Fremont St,0,4,"600 E Fremont St, Las Vegas Nevada",36.1693856,-115.13878,Mar 17,2019
69,1324279,Texas,Livingston,3628 FM 3126,5,0,"3628 FM 3126, Livingston Texas",30.725292,-95.0579087,Feb 11,2019
70,1320286,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,"E Sunny Dunes Rd and El Placer Rd, Palm Springs California",33.8122657,-116.5062457,Feb 3,2019
71,1312391,Georgia,Albany,300  W Roosevelt,0,4,"300  W Roosevelt, Albany Georgia",31.5814139,-84.1548631,Jan 26,2019
72,1302060,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,"Emerson St and Spring Park Rd, Jacksonville Florida",30.2911022,-81.6257966,Jan 16,2019
73,1303303,California,Palmdale,Ranch Center Dr and 40th St W,3,1,"Ranch Center Dr and 40th St W, Palmdale California",34.5833789,-118.2022388,Jan 16,2019
74,1292684,Virginia,Hurt,3197 Shula Dr,3,2,"3197 Shula Dr, Hurt Virginia",37.0559889,-79.332952,Jan 4,2019
75,1292941,Arizona,Yuma,3800  E County 18½ St,1,3,"3800  E County 18½ St, Yuma Arizona",32.5675966,-114.5654948,Jan 3,2019
76,1289877,South Carolina,Columbia,1709 Decker Blvd,0,5,"1709 Decker Blvd, Columbia South Carolina",34.0437454,-80.941347,Jan 1,2019
77,1886913,Florida,Tampa,N 20th St and E 7th Ave,2,2,"N 20th St and E 7th Ave, Tampa Florida",27.96025,-82.436748,Dec 26,2020
78,1887059,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,"Washington St and Quincy Ter, Lynn Massachusetts",42.467861,-70.953569,Dec 26,2020
79,1886849,Florida,Miami,NW 61st St and NW 13th Ave,1,3,"NW 61st St and NW 13th Ave, Miami Florida",25.8311789,-80.218645,Dec 26,2020
80,1886372,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,"Martin Luther King Jr Blvd and N Seacrest Blvd, Boynton Beach Florida",26.5360983,-80.0642731,Dec 25,2020
81,1886721,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,"5180 Pine Ridge Rd, Atkins Arkansas",35.1977667,-92.9998016,Dec 25,2020
82,1885251,Mississippi,Meridian,Jeffrey Acres Rd,5,0,"Jeffrey Acres Rd, Meridian Mississippi",32.2995035,-88.6609658,Dec 22,2020
83,1876727,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,"1384 Cemetery Hill Dr, Elkview West Virginia",38.4335243,-81.483313,Dec 13,2020
84,1876552,Maryland,Hyattsville (Landover),8600  Old Ardmore Rd,2,2,"8600  Old Ardmore Rd, Hyattsville (Landover) Maryland",38.9394567,-76.8598724,Dec 12,2020
85,1908063,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,"611 Flynns Creek Rd, Williamsburg West Virginia",37.992511,-80.5092729,Dec 8,2020
86,1870840,North Carolina,Autryville,10101 Gip Rd,0,6,"10101 Gip Rd, Autryville North Carolina",34.922166,-78.62882,Dec 5,2020
87,1867006,Pennsylvania,Morrisville,1 Makefield Rd,1,3,"1 Makefield Rd, Morrisville Pennsylvania",40.197289,-74.8150258,Dec 1,2020
88,1864205,South Carolina,Conway,3800  Golden Key Rd,0,5,"3800  Golden Key Rd, Conway South Carolina",33.9272726,-79.0373499,Nov 28,2020
89,1862603,Nevada,Henderson,870 E Lake Mead Pkwy,1,5,"870 E Lake Mead Pkwy, Henderson Nevada",36.0542619,-114.9676079,Nov 26,2020
90,1859110,New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,"Stuyvesant Ave and Hoffman Ave, Trenton New Jersey",40.234874,-74.781331,Nov 22,2020
91,1857439,Illinois,Chicago,W 79th St and S Justine St,0,6,"W 79th St and S Justine St, Chicago Illinois",41.7503653,-87.66223,Nov 21,2020
92,1857947,Arizona,Phoenix,35th Ave and Earll Dr,1,4,"35th Ave and Earll Dr, Phoenix Arizona",33.4840608,-112.1343537,Nov 21,2020
93,1853089,Georgia,Jonesboro,500 Block of Museum Cir,2,2,"500 Block of Museum Cir, Jonesboro Georgia",33.5412126,-84.3694065,Nov 15,2020
94,1852363,California,Riverside,La Sierra Avenue and Tin Mine Road,2,3,"La Sierra Avenue and Tin Mine Road, Riverside California",33.8524585,-117.4627322,Nov 14,2020
95,1849308,Florida,Tampa,N 50th St and Sligh Ave,1,7,"N 50th St and Sligh Ave, Tampa Florida",28.0106992,-82.4019225,Nov 10,2020
96,1846494,Tennessee,Nashville,2nd Ave N and Commerce St,0,8,"2nd Ave N and Commerce St, Nashville Tennessee",36.1632454,-86.7760574,Nov 8,2020
97,1840534,South Carolina,Hollywood,7800  White Point Rd,0,6,"7800  White Point Rd, Hollywood South Carolina",32.6536036,-80.3251263,Nov 1,2020
98,1841432,North Carolina,Winston Salem (Winston-salem),3900  Glen Hi Rd,1,3,"3900  Glen Hi Rd, Winston Salem (Winston-salem) North Carolina",36.0623367,-80.1531946,Nov 1,2020
99,1839576,Washington,Sumner,127th Ave E and Valley Ave E,0,5,"127th Ave E and Valley Ave E, Sumner Washington",47.2040035,-122.2602684,Oct 31,2020
100,1834617,Mississippi,Greenwood,W Martin Luther King Dr,2,8,"W Martin Luther King Dr, Greenwood Mississippi",33.509886,-90.1769729,Oct 24,2020
101,1832014,Florida,Miami,1830 NW 50 St,1,3,"1830 NW 50 St, Miami Florida",25.8204486,-80.2269684,Oct 22,2020
102,1831995,Massachusetts,Boston,Columbia Rd and Stanwood St,0,4,"Columbia Rd and Stanwood St, Boston Massachusetts",42.3070034,-71.0765217,Oct 22,2020
103,1830875,New York,Brooklyn,Nostrand Ave and Hawthorne St,1,5,"Nostrand Ave and Hawthorne St, Brooklyn New York",40.6578436,-73.9503282,Oct 21,2020
104,1825525,Florida,Orlando,2000  N Forsyth Rd,3,1,"2000  N Forsyth Rd, Orlando Florida",28.572415,-81.296269,Oct 16,2020
105,1826675,California,San Francisco,200  Scherwin St,1,3,"200  Scherwin St, San Francisco California",37.710751,-122.4114918,Oct 16,2020
106,1823101,South Carolina,Kingstree,55 Williamsburg County Hwy,0,8,"55 Williamsburg County Hwy, Kingstree South Carolina",33.685299,-79.8225394,Oct 10,2020
107,1816799,Alaska,Anchorage,200  McCarrey St,1,4,"200  McCarrey St, Anchorage Alaska",61.2227728,-149.7922144,Oct 7,2020
108,1813583,California,Sacramento,Roanoke Ave and Haywood St,1,3,"Roanoke Ave and Haywood St, Sacramento California",38.6348089,-121.4405959,Oct 3,2020
109,1812972,California,Los Angeles,51st St and Hoover St,0,4,"51st St and Hoover St, Los Angeles California",33.9964453,-118.287144,Oct 2,2020
110,1806806,Ohio,Sandusky,Hancock St and Neil St,1,3,"Hancock St and Neil St, Sandusky Ohio",41.4489119,-82.70353,Sep 27,2020
111,1804511,Georgia,Hampton,1577 Glynn Ct,1,3,"1577 Glynn Ct, Hampton Georgia",33.4502322,-84.3403807,Sep 23,2020
112,1800549,New York,Corona (Queens),Merrick Blvd and Foch Blvd,0,4,"Merrick Blvd and Foch Blvd, Corona (Queens) New York",40.6870607,-73.7748173,Sep 20,2020
113,1800514,Connecticut,Stamford,Ursula Pl and Dale St,1,3,"Ursula Pl and Dale St, Stamford Connecticut",41.0515376,-73.5191997,Sep 20,2020
114,1800026,New York,Buffalo,Glenwood Ave and Jefferson Ave,1,4,"Glenwood Ave and Jefferson Ave, Buffalo New York",42.912365,-78.8539656,Sep 19,2020
115,1800192,New Jersey,Paterson,Elizabeth St and Getty Ave,0,5,"Elizabeth St and Getty Ave, Paterson New Jersey",40.9002062,-74.1616323,Sep 19,2020
116,1793680,North Carolina,Wilson,200  Dewey St,0,5,"200  Dewey St, Wilson North Carolina",35.7202708,-77.9283281,Sep 12,2020
117,1793771,Pennsylvania,Philadelphia,N 18th St and Dauphin St,0,4,"N 18th St and Dauphin St, Philadelphia Pennsylvania",39.9886906,-75.1622648,Sep 12,2020
118,1792624,Louisiana,Donaldsonville,St Elizabeth St and Front St,0,5,"St Elizabeth St and Front St, Donaldsonville Louisiana",30.0977904,-90.9912562,Sep 11,2020
119,1787655,New York,Brooklyn,Norstrand Ave and Crown St,0,5,"Norstrand Ave and Crown St, Brooklyn New York",40.666295,-73.9508357,Sep 7,2020
120,1788352,California,Aguanga,45125 Highway 371,7,0,"45125 Highway 371, Aguanga California",33.4576336,-116.8585716,Sep 7,2020
121,1787222,Indiana,Indianapolis,W 38th St and Graceland Ave,1,4,"W 38th St and Graceland Ave, Indianapolis Indiana",39.8249149,-86.1627769,Sep 7,2020
122,1786855,Georgia,Sparta,Faye St and Lee St,1,6,"Faye St and Lee St, Sparta Georgia",33.2866722,-82.9668628,Sep 6,2020
123,1786920,Illinois,Chicago,S Kingston Ave and E 77th St,0,4,"S Kingston Ave and E 77th St, Chicago Illinois",41.7554138,-87.5626846,Sep 6,2020
124,1785713,Florida,Williston,Co Rd 318 and US-27 Alt,0,6,"Co Rd 318 and US-27 Alt, Williston Florida",29.3873705,-82.4474255,Sep 5,2020
125,1784570,Arkansas,Hensley,Woodson Lateral Rd and I-530,1,3,"Woodson Lateral Rd and I-530, Hensley Arkansas",34.5483982,-92.2577917,Sep 3,2020
126,1783928,California,Oakland,Kerwin Ave and 105th Ave,0,4,"Kerwin Ave and 105th Ave, Oakland California",37.7298289,-122.183395,Sep 2,2020
127,1780266,Texas,San Antonio,S Olive St and Aransas Ave,2,2,"S Olive St and Aransas Ave, San Antonio Texas",29.4056121,-98.471772,Aug 30,2020
128,1780228,Nevada,Las Vegas,777 E Twain Ave,2,2,"777 E Twain Ave, Las Vegas Nevada",36.1212895,-115.1464637,Aug 29,2020
129,1776905,South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,"Muddy Creek Rd and Spanish Wells Rd, Hilton Head Island South Carolina",32.1862533,-80.7676015,Aug 26,2020
130,1772680,Tennessee,Somerville,1100  Brewer Rd,1,4,"1100  Brewer Rd, Somerville Tennessee",35.3397012,-89.4694729,Aug 23,2020
131,1772934,Colorado,Pueblo,2000  Longhorn Point,0,6,"2000  Longhorn Point, Pueblo Colorado",38.5355491,-104.6987365,Aug 23,2020
132,1772174,Alabama,Bessemer (Hueytown),Allison Bonnet Memorial Dr and Rutledge Dr,1,3,"Allison Bonnet Memorial Dr and Rutledge Dr, Bessemer (Hueytown) Alabama",33.4595147,-86.9471174,Aug 22,2020
133,1768125,Pennsylvania,Philadelphia,30th St and Cumberland St,1,4,"30th St and Cumberland St, Philadelphia Pennsylvania",39.9941673,-75.1808741,Aug 18,2020
134,1767851,New York,Corona (Queens),35-35 21st St,0,4,"35-35 21st St, Corona (Queens) New York",40.7600591,-73.9354255,Aug 18,2020
135,1768683,Ohio,Cleveland,Dove Ave and E 102nd St,0,5,"Dove Ave and E 102nd St, Cleveland Ohio",41.4522938,-81.614053,Aug 17,2020
136,1766574,New York,Brooklyn,Atlantic Ave and Hinsdale St,0,4,"Atlantic Ave and Hinsdale St, Brooklyn New York",40.6755387,-73.9016119,Aug 17,2020
137,1765920,Oklahoma,Oklahoma City,SW 59th St and Agnew Ave,0,4,"SW 59th St and Agnew Ave, Oklahoma City Oklahoma",35.4061855,-97.5551257,Aug 16,2020
138,1765336,Michigan,Belleville,24914 Martinsville Rd,4,0,"24914 Martinsville Rd, Belleville Michigan",42.1211001,-83.4609999,Aug 15,2020
139,1765499,Pennsylvania,Philadelphia,N 10th St and Brown St,0,5,"N 10th St and Brown St, Philadelphia Pennsylvania",39.9662262,-75.1535276,Aug 15,2020
140,1765705,Connecticut,New Haven,Rosette St and Hurlburt St,1,5,"Rosette St and Hurlburt St, New Haven Connecticut",41.2927581,-72.9374273,Aug 15,2020
141,1761557,California,Torrance,22904 Lockness Ave,0,5,"22904 Lockness Ave, Torrance California",33.8172085,-118.3053263,Aug 11,2020
142,1759779,Ohio,Toledo,Monroe St and N Detroit Ave,0,6,"Monroe St and N Detroit Ave, Toledo Ohio",41.6645981,-83.5703139,Aug 9,2020
143,1754613,California,Beverly Hills,13200 Mulholland Dr,1,4,"13200 Mulholland Dr, Beverly Hills California",34.1270274,-118.4207777,Aug 4,2020
144,1750611,Florida,Tampa,I-275 and Westshore Blvd,0,5,"I-275 and Westshore Blvd, Tampa Florida",27.9574141,-82.5354588,Jul 30,2020
145,1750548,Florida,Miami Gardens,16701 NW 42 Ave,0,5,"16701 NW 42 Ave, Miami Gardens Florida",25.9261193,-80.2682411,Jul 30,2020
146,1746658,Texas,Mount Enterprise,1039 FM 1798,0,4,"1039 FM 1798, Mount Enterprise Texas",31.9941387,-94.72889,Jul 26,2020
147,1746430,Colorado,Denver,East 33rd Ave and Hudson St,2,3,"East 33rd Ave and Hudson St, Denver Colorado",39.7637987,-104.9240282,Jul 25,2020
148,1744407,Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,"Sunset Ave NW and Lester St NW, Atlanta Georgia",33.7588545,-84.409949,Jul 24,2020
149,1743168,Virginia,Fairfield,3700  Meadowbridge Rd,1,3,"3700  Meadowbridge Rd, Fairfield Virginia",37.8792991,-79.2894783,Jul 23,2020
150,1744332,Illinois,Chicago,120th St and Prairie Ave,2,4,"120th St and Prairie Ave, Chicago Illinois",41.6762837,-87.6165377,Jul 23,2020
151,1740615,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,"S Lawndale Ave and W Douglas Blvd, Chicago Illinois",41.862362,-87.7177384,Jul 20,2020
152,1739920,Michigan,Detroit,McKinney St and Meuse St,1,3,"McKinney St and Meuse St, Detroit Michigan",42.421886,-82.942038,Jul 19,2020
153,1739571,Nebraska,Omaha,28th St and T Ave,0,8,"28th St and T Ave, Omaha Nebraska",41.2055686,-95.9549963,Jul 19,2020
154,1739434,Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,"NE Water St and Hamilton Blvd, Peoria Illinois",40.6906935,-89.5862443,Jul 19,2020
155,1739097,Ohio,Columbus,E 6th Ave and Summit St,0,4,"E 6th Ave and Summit St, Columbus Ohio",39.9890927,-83.0018846,Jul 17,2020
156,1736508,Tennessee,Nashville,S 7th St and Sylvan St,0,5,"S 7th St and Sylvan St, Nashville Tennessee",36.1681686,-86.7572402,Jul 16,2020
157,1735326,New York,Brooklyn,President St and Franklin Ave,1,5,"President St and Franklin Ave, Brooklyn New York",40.668902,-73.958611,Jul 15,2020
158,1735573,Missouri,Saint Joseph,S 18th St and Charles St,0,5,"S 18th St and Charles St, Saint Joseph Missouri",39.7650532,-94.8387482,Jul 14,2020
159,1735470,North Carolina,Durham,200 Block of S Benjamine St,0,8,"200 Block of S Benjamine St, Durham North Carolina",35.9852642,-78.8687352,Jul 14,2020
160,1732993,New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3,"Madison St and Marcus Garvey Blvd, Brooklyn New York",40.6861038,-73.9386654,Jul 12,2020
161,1732532,Mississippi,Como,2965 Hunter Chapel Road,2,4,"2965 Hunter Chapel Road, Como Mississippi",34.5531485,-89.8807507,Jul 12,2020
162,1727743,Virginia,Alexandria,7900  Janna Lee Ave,0,5,"7900  Janna Lee Ave, Alexandria Virginia",38.7461032,-77.0947807,Jul 7,2020
163,1728683,New Jersey,Paterson,Harrison St and Carroll St,4,3,"Harrison St and Carroll St, Paterson New Jersey",40.922841,-74.1615745,Jul 7,2020
164,1725690,Georgia,Atlanta,200  Auburn Ave,2,13,"200  Auburn Ave, Atlanta Georgia",33.7557353,-84.3811481,Jul 5,2020
165,1725946,Missouri,Columbia,Volunteer Dr and Grace Ln,2,3,"Volunteer Dr and Grace Ln, Columbia Missouri",38.9503079,-92.2559381,Jul 5,2020
166,1725635,Pennsylvania,Ephrata,6 Blackberry Ln,0,4,"6 Blackberry Ln, Ephrata Pennsylvania",40.184744,-76.15222,Jul 5,2020
167,1726034,Illinois,Freeport,900  S Carroll Ave,1,5,"900  S Carroll Ave, Freeport Illinois",42.2909707,-89.6147519,Jul 5,2020
168,1725571,Michigan,Detroit,San Juan Dr and W McNichols Rd,2,4,"San Juan Dr and W McNichols Rd, Detroit Michigan",42.4171287,-83.1461773,Jul 5,2020
169,1725025,Maryland,Temple Hills (Marlow Heights),4600 Dallas Pl,1,3,"4600 Dallas Pl, Temple Hills (Marlow Heights) Maryland",38.8255809,-76.9485386,Jul 4,2020
170,1723897,Alabama,Birmingham (Hoover),2000 Riverchase Galleria,1,3,"2000 Riverchase Galleria, Birmingham (Hoover) Alabama",33.3790316,-86.8083523,Jul 3,2020
171,1722839,New Jersey,Paterson,N Main St and Jefferson St,1,4,"N Main St and Jefferson St, Paterson New Jersey",40.8617436,-74.1265322,Jul 2,2020
172,1722142,California,Oakland,MacArthur Fwy and 106th Ave,0,4,"MacArthur Fwy and 106th Ave, Oakland California",37.7429551,-122.1486955,Jul 1,2020
